bollinger_window,bollinger_std_dev,sl_factor,tp_factor,sharpe_ratio
12,3.31555931074553,1.1204578278118884,19,0.1
42,1.8668695797323276,1.0678146001636617,16,0.0019765793738676647
28,1.6999498316360058,0.8755493351795203,10,0.001884531390291923
16,2.801776945897706,0.6338469474162601,19,0.0011778296616182648
48,1.5015575316820287,1.1953269355747307,17,0.0018812863815896154
34,1.5141326104394348,0.6138374550248494,15,0.0021226960556686852
26,1.5933313264272309,1.1842533113048757,8,0.0010537146917612007
14,2.7367720186661746,0.8294771947602977,25,-0.0004959324378626366
29,3.2198808134726415,1.0081845231526678,13,0.0009100088590176258
11,3.384403511369706,0.9379729307073237,11,-10000000000.0
11,1.9617876512442982,0.744615279615607,18,0.0013240176557776007
26,1.5683214692176017,1.1851029884577557,8,0.0011757148585676736
38,1.7442011154794863,1.2,7,-0.0015079689012494888
25,1.8694095398794142,1.0184494841559313,9,0.0011719726904407595
33,2.6318550993357572,0.6647625011198739,24,0.0015095700710268819
50,1.5,0.8565961199405789,3,-3.793284751289488e-05
18,2.6888860085673594,0.786704471598962,25,-0.0015789378325918987
40,1.9418863643024094,0.9781676268245932,8,-0.0014843607747573075
40,1.9406454286582961,0.9956564074789727,8,0.0013559169035449745
25,2.8636400796963204,0.7232627807276972,8,0.0012647973273859972
24,2.035726079340204,0.9929574950387612,8,0.0012151044548599525
21,2.0274997393549534,0.9702705571992215,8,0.0004567007555594259
28,2.038453704220793,0.9694657006912071,8,0.0010890080180253814
27,2.1579976203056153,0.9428793289323356,8,0.0012784973187398576
29,2.1698598224700607,1.0155785903019952,8,0.001150539205844219
26,2.2033155398460798,0.9440535754567789,8,0.0011823287884876743
14,3.028959286032263,0.8621930632460688,19,-0.000758703635274038
28,2.0681197671465354,0.9968161575892062,8,0.0010901958107117156
26,2.072012816601245,0.9846066337224106,8,0.0013128952682679303
27,1.9869460236923278,0.9879553523781066,8,0.001840231455316468
31,2.1070357537448974,0.9481292840159812,8,0.0009034036487987394
12,3.030446277060263,0.8692923846043065,19,0.002428469076398283
30,2.1656767258532317,0.9528223242512331,8,0.00010617937640068463
27,2.2264944803330673,0.9604411537797173,8,0.0016857038887398666
27,2.1898442614895295,0.9758584764264776,8,0.001077045736143617
31,2.0075648576416767,0.993333179998455,8,0.0015466904347127587
30,2.1773284508131994,0.9957051236543416,8,0.00035160871088265607
30,2.230410004800031,0.9455924448289581,8,0.0011965303026176882
17,3.117624065237949,0.8543516481404543,19,0.0013299254187444298
29,2.084227645158029,1.002780027739076,8,0.0012986005916655336
30,2.070056114942735,0.9851225342000172,8,0.0005952432573584952
25,2.1417869092754205,0.9719796102163412,8,0.0009500543848279501
13,3.070575664766566,0.9122949803713967,19,0.001994410095162997
15,3.1047369560748246,0.8923522872540284,19,-0.0032330030244219874
14,3.0412928444499423,0.8692644918997562,19,-0.001986465098727556
28,1.989501158445687,1.0241942605294037,8,-0.00033736522391288276
30,1.9661368878234518,1.0085186279355818,8,0.0011996671911716265
26,2.2039258633304315,0.9763691450690615,8,0.0010387919661539572
14,3.141625385315304,0.886396961726819,19,-0.0014189024189737649
14,2.970257884296938,0.9306382577625141,19,-0.00266731588823088
29,2.1435594205124797,0.9888922542203324,8,0.0011580917376165746
27,2.040412647071401,0.964426728839824,8,0.000957005691511392
26,2.2138354959112303,0.9689915983027005,8,0.0012522813346254329
31,2.0887349535156403,0.9727448089651017,8,0.0011945435578314095
31,2.052294486272141,1.0001685117480612,8,-0.001049244972270717
26,2.214183034735913,0.9651532727021319,8,0.001261948723823062
13,2.9571142791090725,0.8852524123527568,19,0.0019834593694146095
28,2.1977556366118054,0.9786072611172953,8,0.0003621929260628298
28,2.065609376544822,1.0012760145087394,8,0.0011964062011639758
29,2.1455474301432518,0.941767774838222,8,0.0010819059760145404
12,3.0216177033479976,0.8980448909843917,19,0.0023815130484042897
16,3.194522280928295,0.9220114771623171,19,0.0006407617965576341
29,2.259516981608818,0.9519831200127996,8,0.0008940869793279049
26,2.021255567204835,0.9755428531429565,8,0.0008714755182629145
13,3.043257277176123,0.9133209304478611,19,0.0019714880276073096
27,2.090528152262532,1.0039671561775438,8,0.0015182864767783728
27,2.1665426736987756,0.9685962436044172,8,0.0012774224002771125
13,3.065266717939296,0.8894989892390854,19,0.0008606448740370702
27,2.224944479077333,0.9458016427998285,8,0.0011327155196014884
13,3.0135482612573212,0.914572387714091,19,0.001654815334812445
27,2.0264622379570802,0.9814426720474515,8,0.0013544249233229427
15,3.1546740768105037,0.8570502155922342,19,0.00031934726248931765
28,2.03441697409764,0.9988465760613409,8,0.0010105184773984944
29,2.0392804904243764,0.9667836306818209,8,0.001030592404380357
29,2.149333618836967,1.0116650523879018,8,0.0013082680835045596
27,2.097033522889009,0.9899944420929279,8,0.0014838424678309129
15,3.0210284209650977,0.840261654980951,19,-0.0023715395450356097
26,2.1262312996542154,0.9639627893859152,8,0.0013318682200688426
28,2.1467524490815717,0.9729201949026328,8,0.001654648091586532
26,2.125180367091437,0.9978171012633955,8,0.0011767086166995797
13,3.204437369804887,0.8559969764192559,19,0.0016255098886519058
31,2.1124481805835393,0.9748102302834203,8,0.0009543754807696717
26,2.0868671814640645,0.9709934008302745,8,0.0014509722688740912
12,2.9247775482010727,0.8566790031499973,19,0.0023715932282584434
27,2.1462812697443265,0.9854039585592158,8,0.0011408890211234456
31,2.0927507931805827,0.9519505840084485,8,0.00040357012053975517
29,2.0296094670232545,0.9909691477015297,8,0.0007832751082466341
15,3.1064362901221996,0.8736570403515207,19,-0.00045020499694188576
26,2.1055805331689226,0.9733299236756918,8,0.0012357095306043237
30,2.0877426218865227,0.9884742781420199,8,0.0008108699726579559
15,3.039572395476279,0.8981755101051379,19,-0.002226710179663602
14,2.9807536750763712,0.8484048415996306,19,-0.0026238459526497938
15,3.071461529057987,0.8733625076622437,19,-0.0029105911216273225
27,2.0932983499693663,0.9790459962189536,8,0.0012875752554763233
31,2.124943008213126,0.9419041741975955,8,0.0014786862523600024
30,2.0040677391368535,1.0018607782999607,8,0.0009648975022068658
30,2.169222471702532,0.9737764098272367,8,-0.00030552403729126637
14,3.111776143110194,0.8886576719729342,19,-0.0026429302336413623
13,3.086493092891576,0.8870540512776219,19,0.001975964712111882
14,3.041471130115279,0.871573589477942,19,-0.001881206390375121
26,2.0417247915693744,0.9928833452764775,8,0.0009675353797991283
